RA,Ano_Ref,Fase,Idade,Gênero,IAA,IEG,IPS,IDA,IPV,IAN,Mat,Por,Ing,IPP,Risco_Defasagem
RA-1,2022,7,19.0,Menina,8.3,4.1,5.6,4.0,7.278,5.0,2.7,3.5,6.0,,1
RA-2,2022,7,17.0,Menina,8.8,5.2,6.3,6.8,6.778,10.0,6.3,4.5,9.7,,0
RA-3,2022,7,17.0,Menina,0.0,7.9,5.6,5.6,7.556,10.0,5.8,4.0,6.9,,0
RA-4,2022,7,17.0,Menino,8.8,4.5,5.6,5.0,5.278,10.0,2.8,3.5,8.7,,0
RA-5,2022,7,17.0,Menina,7.9,8.6,5.6,5.2,7.389,10.0,7.0,2.9,5.7,,0
RA-6,2022,7,18.0,Menina,7.9,4.5,7.5,3.3,7.222,5.0,2.3,5.3,2.3,,1
RA-7,2022,7,18.0,Menino,0.0,8.4,7.5,7.6,7.667,5.0,8.2,5.7,9.0,,1
RA-8,2022,7,20.0,Menina,7.1,4.6,6.3,1.6,6.278,5.0,1.2,0.7,2.9,,1
RA-9,2022,7,18.0,Menina,8.8,9.5,7.5,6.7,9.5,5.0,5.5,6.0,8.7,,1
RA-10,2022,7,18.0,Menina,8.3,5.2,5.0,4.1,7.056,5.0,3.3,2.6,6.4,,1
RA-11,2022,7,18.0,Menina,9.2,4.2,5.0,3.0,6.389,5.0,1.8,2.5,4.5,,1
RA-12,2022,7,17.0,Menina,0.0,4.0,6.9,1.5,6.389,10.0,2.7,1.1,0.7,,0
RA-13,2022,7,18.0,Menino,7.9,7.4,7.5,4.7,8.056,5.0,3.5,5.5,5.2,,1
RA-14,2022,7,21.0,Menino,7.9,8.3,7.5,4.0,7.75,5.0,8.0,0.0,,,1
RA-15,2022,7,18.0,Menino,8.8,10.0,7.5,7.3,7.292,5.0,8.0,6.5,,,1
RA-16,2022,7,19.0,Menino,7.9,8.3,5.0,3.5,6.333,5.0,7.0,0.0,,,1
RA-17,2022,7,20.0,Menino,8.8,10.0,7.5,7.8,8.292,5.0,9.0,6.5,,,1
RA-18,2022,7,19.0,Menino,6.3,8.7,6.3,9.0,6.875,5.0,9.0,9.0,,,1
RA-19,2022,7,19.0,Menina,7.9,9.5,7.5,8.0,7.0,5.0,7.0,9.0,,,1
RA-20,2022,7,19.0,Menina,7.1,10.0,6.3,7.8,7.167,5.0,9.0,6.5,,,1
RA-21,2022,7,18.0,Menino,9.6,9.2,7.5,3.8,7.25,5.0,7.0,0.5,,,1
RA-22,2022,6,17.0,Menina,8.3,7.4,8.1,6.7,8.833,5.0,9.0,3.1,7.8,,1
RA-23,2022,6,17.0,Menino,8.3,8.2,8.1,6.7,8.556,5.0,7.2,4.7,8.2,,1
RA-24,2022,6,17.0,Menina,9.2,7.9,6.9,8.6,9.111,5.0,10.0,6.3,9.7,,1
RA-25,2022,6,17.0,Menina,8.3,8.3,8.8,6.9,9.667,5.0,9.2,3.8,7.7,,1
RA-26,2022,6,17.0,Menino,9.6,8.8,10.0,8.0,10.0,5.0,9.5,4.4,10.0,,1
